Date,Open,High,Low,Close,Adj Close,Volume
2015-03-17,6804.100098,6846.899902,6798.500000,6837.600098,6837.600098,757362800
2015-03-18,6837.600098,6945.200195,6837.299805,6945.200195,6945.200195,772632700
2015-03-19,6945.200195,6982.799805,6929.700195,6962.299805,6962.299805,809174400
2015-03-20,6962.299805,7024.200195,6960.799805,7022.500000,7022.500000,1419421400
2015-03-23,7022.500000,7037.700195,6991.399902,7037.700195,7037.700195,673591200
2015-03-24,7037.700195,7065.100098,7012.500000,7019.700195,7019.700195,702620900
2015-03-25,7019.700195,7035.100098,6983.899902,6991.000000,6991.000000,645837600
2015-03-26,6991.000000,6991.000000,6876.799805,6895.299805,6895.299805,936518300
2015-03-27,6895.299805,6910.600098,6839.899902,6855.000000,6855.000000,736697300
2015-03-30,6855.000000,6914.600098,6855.000000,6891.399902,6891.399902,639393900
2015-03-31,6891.399902,6910.100098,6765.100098,6773.000000,6773.000000,900335700
2015-04-01,6773.000000,6856.399902,6765.399902,6809.500000,6809.500000,800482200
2015-04-02,6809.500000,6849.899902,6801.299805,6833.500000,6833.500000,575894800
2015-04-07,6833.500000,6967.700195,6833.500000,6961.799805,6961.799805,704104300
2015-04-08,6961.799805,7012.100098,6931.600098,6937.399902,6937.399902,865524000
2015-04-09,6937.399902,7017.000000,6937.399902,7015.399902,7015.399902,698600800
2015-04-10,7015.399902,7095.399902,7015.399902,7089.799805,7089.799805,801926500
2015-04-13,7089.799805,7089.799805,7046.700195,7064.299805,7064.299805,592637100
2015-04-14,7064.299805,7086.100098,7044.600098,7075.299805,7075.299805,669927300
2015-04-15,7075.299805,7111.700195,7058.299805,7096.799805,7096.799805,722590500
2015-04-16,7096.799805,7119.399902,7057.700195,7060.500000,7060.500000,750900800
2015-04-17,7060.500000,7093.500000,6979.299805,6994.600098,6994.600098,776519900
2015-04-20,6994.600098,7067.799805,6994.600098,7052.100098,7052.100098,583888000
2015-04-21,7052.100098,7105.100098,7030.000000,7062.899902,7062.899902,655787700
2015-04-22,7062.899902,7092.299805,6997.200195,7028.200195,7028.200195,785146300
2015-04-23,7028.200195,7055.200195,6995.799805,7053.700195,7053.700195,714656500
2015-04-24,7053.700195,7102.600098,7051.200195,7070.700195,7070.700195,796682000
2015-04-27,7070.700195,7122.700195,7025.299805,7104.000000,7104.000000,679761700
2015-04-28,7104.000000,7104.000000,6984.000000,7030.500000,7030.500000,796371600
2015-04-29,7030.500000,7058.200195,6945.600098,6946.299805,6946.299805,767322400
2015-04-30,6946.299805,6970.299805,6906.200195,6960.600098,6960.600098,906266700
2015-05-01,6960.600098,6995.399902,6919.399902,6986.000000,6986.000000,838058900
